2036284361-1618228400,110,21,111
2036284572-1617447655765,35,60,48
2036285874-1604834547328,54,25,38
2036287224-1617441074299,70,22,66
2036287299-1618735370053,18,3,10
2036287310-1617102090510,56,10,64
2036287310-1622727789015,28,5,24
2036287325-1604725570661,46,10,35
2036287454-1617590608,13,4,16
2036287461-1621689441508,40,6,29
2036288048-1617798040689,64,11,21
2036288081-1624073359855,54,10,44
2036288152-1591009565,101,26,38
2036288152-1591702015,109,24,39
2036288358-1622975181304,128,13,57
2036288365-1616218202730,90,30,179
2036288365-1617102451510,102,97,75
2036288365-1620128703512,211,63,19
2036288365-1620566365665,59,12,11
2036288365-1621680704348,115,48,25
2036288365-1622633693572,54,34,37
2036288365-1622860002531,57,13,21
2036288365-1623159103694,30,18,39
2036288994-1617364048157,69,40,35
2036289383-1622969324841,77,13,41
2036289830-1618147655438,27,6,10
2036290000-1601810009079,12,3,9
2036290255-1620990806367,92,15,82
2036290294-1616830748353,17,2,10
2036290398-1591093699869,250,18,175
2036290887-1619525653661,99,7,41
2036291103-1615291122164,11,1,17
2036291103-1618225322869,40,47,15
2036291161-1599567171247,41,6,40
2036291252-1606565513265,91,12,38
2036291252-1617537659091,124,21,35
2036291274-1618317534,61,10,57
2036291698-1617621485305,35,2,13
2036291705-1617622571852,30,10,45
2036291779-1616584886046,19,10,21
2036291779-1621648200731,35,5,38
2036291779-1622635294158,58,2,21
2036291965-1617621494439,37,12,21
2036292031-1620652042367,28,6,52
2036292225-1615546733627,85,20,46
2036292425-1615900350622,42,12,21
2036292693-1610706556540,4,0,3
2036292737-1618144845,27,9,32
2036292876-1617969328008,107,5,30
2036293000-1617109733733,62,6,53
2036293342-1608813638977,22,5,17
2036293524-1617435368901,228,49,89
2036293524-1617444227741,109,14,39
2036293957-1615384215833,10,0,6
2036294006-1621343312007,25,6,34
2036294342-1615724850628,87,69,131
2036294342-1622806535001,55,6,59
2036294459-1605351961647,112,79,184
2036294805-1621856935192,34,1,6
2036294874-1598960507096,47,19,63
2036295235-1616675676324,22,6,16
2036295272-1622631585236,106,17,48
2036295380-1605336026140,191,14,77
2036295380-1615813544,91,20,48
2036295380-1616332906,32,26,108
2036295533-1606038451023,4,2,5
2036295772-1619255077946,12,0,28
2036296303-1617885363,36,4,73
2036296303-1618401795,78,19,40
2036296537-1617019195949,42,5,50
2036296902-1617280975945,43,14,65
2036296902-1617881174749,77,9,94
2036296902-1618920557954,47,14,115
2036297157-1616833577769,67,5,30
2036297157-1618037695311,58,5,21
2036297162-1619096160842,23,10,29
2036297266-1621764368399,23,1,14
2036297652-1608644524944,8,6,8
2036297652-1617364936985,123,51,80
2036297652-1622959825535,144,12,34
2036298068-1607769414714,52,32,75
2036298175-1616325705205,21,6,18
2036298974-1617280381818,81,36,77
2036299123-1591006076738,97,16,72
2036299123-1605177848140,86,23,80
2036299123-1617449612810,53,27,57
2036299429-1621658091,33,4,12
2036299746-1615597292457,189,13,69
2036299746-1616832554795,107,18,82
2036299746-1616848779801,77,9,49
2036299909-1617537508351,41,2,36
2036299909-1622292763124,89,9,45
2036299912-1605343722177,52,2,37
2036300027-1618141881,211,11,47
2036300187-1605271653862,88,10,21
2036300187-1616938533540,35,0,7
2036300314-1615894201362,35,14,32
2036300355-1618141600729,33,3,29
2036300613-1607599015,138,7,56
2036301131-1607085031,71,11,27
2036301275-1622813617969,44,40,36
2036301307-1608636678606,102,6,46
2036301307-1617800944913,80,4,48
2036301307-1618405496210,80,7,60
2036302123-1591701181797,112,21,62
2036303492-1622120712497,24,4,14
2036304084-1615809434375,62,1,12
2036304209-1617581477757,66,22,61
2036304209-1617585485732,10,12,44
2036305396-1606309062878,100,8,18
2036305396-1606395158635,113,2,3
2036305803-1591009760342,52,20,64
2036306736-1617102772,26,17,54
2036307226-1591005611,188,112,344
2036307226-1621335222,210,26,43
2036307226-1621425312,210,64,154
2036307481-1607685375899,7,1,8
2036307719-1615555241,39,32,128
2036308185-1607518981210,51,38,64
2036309608-1615381253862,25,4,16
2036309608-1616327736815,51,4,17
2036309608-1616589802315,33,3,42
2036309987-1616505351872,60,37,41
2036309987-1616931965075,27,16,23
2036309987-1617023878625,56,17,18
2036309987-1618233369258,25,10,9
2036309987-1619356609101,29,11,26
2036309987-1619440511838,38,14,20
2036310026-1618488205,35,62,4
2036310329-1609073976029,30,2,12
2036310329-1617100432893,36,18,68
2036310813-1615379390760,87,12,29
2036310813-1615466246695,80,17,16
2036310813-1615631291676,286,30,62
2036310813-1615985050769,95,14,17
2036310813-1616930688772,166,22,12
2036310813-1616936162245,91,49,14
2036310813-1617021792792,125,35,30
2036310813-1618052506689,111,17,25
2036310813-1618055984324,200,57,79
2036310813-1620552907412,110,51,30
2036310906-1616586776438,75,9,44
2036310968-1601813972504,115,18,56
2036311801-1607344988196,15,1,7
2036312022-1621344494926,23,8,22
2036312555-1617109631235,73,8,128
2036312980-1622117310150,127,86,128
2036312980-1623495428278,67,31,38
2036313794-1608451624570,64,11,70
2036313933-1615710188096,29,24,36
2036314802-1623068424169,110,10,53
2036315032-1618923084427,16,3,7
2036315529-1623237646,101,35,87
2036316199-1606131467078,36,12,47
2036317109-1621059029522,134,13,77
2036317109-1621149007220,116,14,52
2036317109-1621751435393,123,13,50
2036317832-1617279919703,78,21,74
2036317832-1617364564417,243,32,94
2036317832-1617714851636,68,15,32
2036318174-1622637576041,49,6,41
2036318820-1617367428844,12,19,82
2036318939-1622949360196,39,1,19
2036318949-1621125689009,29,7,28
2036320256-1621763303185,41,7,49
2036320256-1622881795368,163,9,54
2036320260-1615978059705,69,22,67
2036320260-1620568528194,16,3,21
2036320266-1620038099964,16,7,20
2036320540-1606741434352,16,2,14
2036320723-1616332302,11,5,54
2036321562-1617107386,17,54,83
2036322191-1607169988683,31,4,26
2036322191-1608377922303,22,11,40
2036322201-1607512011376,63,52,51
2036323476-1618662161115,121,19,104
2036323560-1591013607422,39,7,47
2036323560-1616310608496,125,9,80
2036323560-1623153942102,77,9,68
2036323788-1615724622850,96,39,67
2036323904-1620392290006,33,17,37
2036324774-1618036402,123,37,79
2036324774-1618641331,130,61,46
2036324829-1624103356119,12,6,33
2036325004-1591011047431,92,22,48
2036325195-1621123405708,55,8,56
2036325795-1615379537393,59,5,12
2036325795-1618039057,58,26,45
2036325854-1615549483878,4,12,2
2036326012-1616214024383,36,7,41
2036326012-1616897999985,133,17,75
2036326012-1618108912777,59,8,37
2036326615-1615806244939,80,8,45
2036326615-1617106401604,72,31,45
2036326615-1622718688559,50,17,69
2036327711-1615892452461,38,4,28
2036327711-1617794940629,57,0,30
2036327711-1618317922365,38,5,11
2036328286-1615376082111,35,7,21
2036328382-1615633512653,42,3,14
2036329025-1606555320416,88,23,57
2036329025-1617103360724,74,4,17
2036329619-1602586988584,58,8,47
2036329619-1602915739116,34,14,75
2036329619-1603283582442,54,31,32
2036331323-1618490433269,100,29,28
2036331922-1619525320491,54,49,94
2036332175-1621127321634,273,5,70
2036332425-1599220435559,38,4,13
2036333280-1616227347415,31,16,41
2036334067-1606133210294,82,6,45
2036334718-1615722403357,122,4,30
2036335138-1602998958127,72,58,48
2036335891-1617583884579,279,21,85
2036337118-1598959920118,70,5,56
2036337172-1617278162,30,10,53
2036337453-1617625719982,49,28,47
2036337503-1602680891,9,2,12
2036338405-1618144150845,68,31,23
2036338667-1615900326050,74,2,29
2036340378-1621253937864,22,8,36
2036340378-1621861492422,7,13,21
2036341365-1601859853771,43,35,46
2036341774-1618039543626,47,14,60
2036341991-1617624056856,21,3,11
2036341991-1617800174963,45,15,22
2036342047-1615467669568,75,73,75
2036342047-1620218757401,21,7,35
2036342263-1606134131236,10,3,9
2036342625-1621259058880,8,0,6
2036343256-1617106841952,31,35,57
2036343704-1600861526068,36,4,22
2036343722-1607772797033,134,51,68
2036344290-1606129807325,15,3,18
2036344658-1623071386839,50,4,9
2036344915-1610853295796,110,16,48
2036344915-1617715801963,22,7,24
2036345173-1598961595528,11,1,17
2036346959-1605874448675,73,21,95
2036348210-1620647712608,76,16,41
2036348798-1606484610979,14,1,9
2036349723-1617968083375,41,10,73
2036349853-1615815484,33,10,15
2036350422-1618401850301,77,11,47
2036350731-1599475183914,12,4,14
2036350731-1604708764195,41,2,21
2036350731-1617444085011,20,29,75
2036350731-1618918713158,26,3,11
2036350761-1620304489569,88,10,24
2036351028-1620477069208,87,2,25
2036351075-1619934959558,116,11,57
2036351075-1619940760827,58,12,35
2036351128-1616504069,20,9,22
2036351128-1617019428,43,44,82
2036351175-1591784826931,88,14,52
2036352371-1621514255,65,18,35
2036352553-1617281498741,43,13,28
2036353082-1617020321771,33,9,42
2036354333-1617795637389,190,4,33
2036355643-1621077284874,29,2,14
2036356655-1608378707682,57,35,79
2036357511-1607603014412,34,4,33
2036358265-1607777959526,64,11,69
2036359509-1616328236105,38,86,222
2036360207-1605437383522,87,11,65
2036360405-1591008933141,36,9,36
2036361160-1607151368900,60,12,82
2036361183-1604118858321,112,10,37
2036361712-1617591247307,70,8,38
2036363376-1617590850701,64,2,8
2036363704-1617452185012,122,7,35
2036390641-1623068167282,20,6,10
2062484603-1622899952924,37,4,20
2062501488-1617277304398,62,18,64
2062518563-1622544556648,56,3,55
2062524641-1623154842,4,13,32
2062526689-1621338436767,30,2,24
2062528591-1619261014139,24,6,26
2062532216-1623326994745,7,3,17
2062546652-1606393658545,9,2,3
2062550956-1617713012466,42,18,21
2062550956-1622547749999,136,38,133
2062550956-1622634108736,40,9,13
2062554742-1616837588401,49,5,29
2062555246-1607854073739,68,77,204
2062556919-1607341357835,84,16,57
2062556919-1616501404114,4,9,17
2062556919-1617279744273,25,49,61
2062556941-1617369393772,67,9,32
2062557456-1617361844863,44,9,59
2062557456-1621515508056,7,0,6
2062557947-1622553653582,48,3,22
2062558132-1605783830082,120,32,42
2062558238-1616302526,164,23,51
2062558238-1616907533,178,19,59
2062558238-1618724420,210,17,60
2062558257-1603196142979,19,9,27
2062558257-1617888184186,55,15,50
2062559247-1623155162,28,4,22
2062559428-1617101945266,119,25,49
2062559428-1618055591016,83,71,47
2062559428-1619874403055,49,14,52
2062559428-1622634874013,70,11,31
2062559893-1618744810996,53,8,16
2062562383-1617802658490,37,3,14
2062562403-1603967377404,73,16,28
2062562403-1605091562366,105,10,25
2062562403-1605179206486,82,2,19
2062562403-1615375573866,78,1,11
2062562403-1615549218928,81,2,19
2062562403-1616584726953,114,8,19
2062562403-1617966993725,88,6,18
2062562403-1618572067067,169,6,35
2062562403-1623410875095,169,13,27
2062563269-1622860991239,70,23,50
2062565609-1604737263,63,33,73
2062565609-1610712647,16,8,35
2062565801-1617018652346,99,39,113
2062566317-1619354786334,38,8,23
2062566673-1618127326917,84,12,45
2062566673-1623244242,2,34,16
2062567096-1616676034929,7,1,19
2062567096-1618399685877,50,11,17
2062567096-1618401687203,22,19,13
2062567182-1621772052223,33,3,26
2062567736-1615983676550,42,2,7
2062567736-1616418721241,93,6,21
2062567736-1617887240772,65,11,46
2062568448-1623237641587,47,11,14
2062569478-1622033728720,47,8,30
2062569862-1622986096599,33,3,9
2062571860-1617798311764,15,2,7
2062574730-1617281080482,37,12,46
2062574880-1617410794379,32,49,71
2062574880-1619865003924,8,9,36
2062576956-1616588015,31,21,45
2062578026-1615468483,34,12,58
2062578036-1618233087332,97,15,35
2062578239-1607606053498,50,14,44
2062578239-1608814515534,49,115,228
2062578239-1615381674449,47,19,52
2062578239-1616417208852,36,10,49
2062578239-1617281615789,90,27,78
2062578239-1617627573290,70,13,77
2062578239-1618233110893,59,12,46
2062578239-1618491776527,58,41,148
2062578239-1619610863080,73,26,94
2062578241-1623156020517,33,3,12
2062578998-1618226325584,15,3,11
2062581293-1591094081034,66,19,65
2062581293-1623152010664,91,15,25
2062582658-1591012165457,120,25,63
2062583510-1591789906662,6,7,18
2064008513-1617447107472,19,4,1
2064031476-1617451628,71,11,82
2064044659-1617107637912,127,14,50
2064049010-1620907704,2,22,49
2064050370-1592305386580,167,247,180
2064052333-1623588009254,33,6,39
2064057456-1591700316571,201,26,102
2064058014-1606008225685,185,42,113
2064058014-1615593635793,153,42,134
2064058014-1617280739646,44,43,124
2064059426-1620561760047,33,9,24
2064060141-1617585258174,103,18,56
2064061348-1620912572042,33,9,55
2064064162-1621776805196,18,11,33
2064064345-1615548798523,100,11,67
2064064441-1606551337584,16,2,11
2064068366-1616071990,16,48,130
2064071605-1618403421508,29,10,17
2064074473-1604061115963,31,6,10
2064074532-1615688448,24,4,16
2064074532-1618657625,12,4,12
2064075369-1605957912,38,2,27
2064075369-1605965951,39,0,21
2064075369-1615717573169,45,5,28
2064075369-1616290419268,140,24,46
2064075369-1616326707728,139,16,62
2064075369-1620043228067,133,17,80
2064075718-1621517202,72,13,45
2064077958-1602140212482,17,4,10
2064079000-1617710579863,167,7,30
2064079122-1622722513696,44,11,46
2064080220-1620090633,137,26,72
2064080220-1621067786,103,3,33
2064081501-1620306848129,74,11,50
2064084739-1616678979706,14,3,14
2064085291-1607603791488,26,8,21
2064085291-1618321055053,18,10,24
2064085440-1618488538263,35,27,46
2064085587-1620389413852,1,2,11
2064086147-1616759170344,49,3,18
2064086703-1615381344314,31,4,23
2064086943-1607431012842,32,75,74
2064086943-1617016188728,63,6,35
2064088272-1609036932871,15,2,6
2064089157-1606827923220,38,3,22
2064089157-1618485869,40,12,24
2064092347-1616591858574,35,20,63
2064092756-1619437413573,89,9,29
2064093870-1615719927381,171,8,37
2064094515-1619528460302,108,6,30
2064094515-1623936579326,26,1,11
2064094761-1617022265,44,13,8
2064094761-1622640737,33,35,25
2064094853-1621165227735,44,10,25
2064094888-1619612239671,58,6,11
2064095225-1617016251773,73,8,26
2064096363-1605697804136,30,1,7
2064097051-1617272732403,32,14,38
2064097861-1606307574603,72,28,67
2064100506-1617369036155,10,4,1
2064102192-1617585159632,57,3,12
2064103172-1620823810392,55,9,20
2064103403-1617369128891,29,9,49
2064104701-1618314092074,98,18,31
2064105574-1615984744164,31,5,14
2064105920-1618408454139,20,11,25
2064106448-1622123434974,5,2,6
2064107669-1623155487485,26,0,4
2064108429-1617368608368,15,29,84
2064109703-1608723834015,133,28,142
2064111328-1617799360283,40,2,44
2064111328-1620909893778,17,2,13
2064111406-1603710668384,6,2,10
2064112955-1615374225647,137,16,35
2064112955-1615716291465,205,14,77
2064112955-1616312165590,153,10,49
2064112955-1617408997911,89,14,11
2064112955-1618619060361,159,58,90
2064112955-1619229496823,126,6,37
2064112955-1620088986739,298,52,95
2064112955-1620518466848,168,18,57
2064112955-1621941362,91,16,16
2064112955-1622942048,217,11,46
2064112955-1623499564,215,13,62
2064113327-1615466547138,51,11,57
2064113327-1615813234841,26,9,33
2064113399-1591010532130,85,41,115
2064113399-1591354958421,107,12,43
2064113399-1591701853940,58,40,53
2064113399-1592306172573,154,18,76
2064115079-1615467750598,78,7,27
2064115117-1592138235,68,39,91
2064115125-1591095484158,41,6,33
2064115393-1604711315832,87,10,44
2064115393-1605942068112,99,56,100
2064115705-1616069824304,40,0,0
2064115705-1620121631918,39,2,16
2064115705-1622725387634,48,4,22
2064116136-1615552533479,57,58,76
2064116136-1616505225564,27,51,53
2064116154-1605784418842,80,86,140
2064116154-1618732203,31,9,23
2064116426-1617794612637,42,14,63
2064116445-1621661157644,79,4,29
2064116910-1615622372093,194,13,26
2064116910-1616228811039,104,6,26
2064116910-1617582619754,168,6,23
2064116910-1617613212388,181,6,41
2064116910-1618131607145,189,12,74
2064116910-1618646403648,172,3,23
2064117110-1617279253320,40,12,22
2064117421-1605177851930,84,79,49
2064117421-1615461542646,18,20,38
2064117896-1603005758927,76,4,6
2064118043-1615375222,17,3,6
2064118177-1617103319,72,30,50
2064118177-1617278598,62,14,34
2064118177-1617435883,88,54,77
2064118316-1616592178412,29,0,3
2064118491-1591009845,37,13,45
2064118609-1617538656992,86,9,25
2064118609-1617626335888,56,4,26
2064118609-1618233122857,48,2,7
2064118781-1621946355018,36,2,6
2064119182-1608984963898,89,6,73
2064119477-1619259348674,51,2,40
2064119957-1618727594853,94,7,34
2064120321-1607428567781,46,9,51
2064121473-1607337680057,121,2,3
2064121554-1616325908,45,9,32
2064121563-1617100476049,51,4,60
2064121727-1622896190560,50,13,48
2064121775-1615377855930,48,17,54
2064121981-1623586503,110,7,13
2064122872-1617196744315,37,44,46
2064122872-1619087056745,29,17,38
2064123224-1617103838498,29,18,56
2064123441-1616498866866,31,1,13
2064123844-1592123686782,117,14,60
2064123844-1615555426777,37,7,43
2064123864-1617362603,166,4,23
2064123864-1618569083,55,6,26
2064123864-1618572624,162,11,56
2064124384-1621343049,6,8,21
2064124931-1617369494116,68,42,36
2064125247-1620817902800,14,0,11
2064125333-1616066722795,26,18,64
2064125333-1617449964507,74,11,28
2064125825-1617024081301,20,3,7
2064125842-1615713703894,35,3,37
2064126156-1622551319665,13,26,72
2064126571-1617018616445,48,7,15
2064126585-1622032548873,58,8,25
2064127108-1619244846882,40,0,17
2064127359-1621647306,16,5,4
2064127450-1616416993224,52,6,32
2064127861-1615689685016,17,7,17
2064128426-1618143788560,6,1,13
2064128426-1618401992086,134,19,48
2064128619-1616936993,32,35,61
2064128619-1617625174,36,33,55
2064128728-1620188215,85,9,23
2064128787-1605950473212,137,19,32
2064128787-1607255729277,78,9,35
2064128787-1615720111487,168,15,19
2064129119-1618146882714,75,2,24
2064129119-1618750055464,34,5,32
2064129119-1624188122144,60,4,7
2064129551-1618231297249,37,2,14
2064129558-1607681767867,124,15,11
2064129599-1621942550194,73,16,63
2064129694-1617878887808,18,6,39
2064129694-1618230471041,11,4,24
2064129987-1617013184306,28,9,29
2064130103-1621775027,18,4,4
2064130293-1604709556290,116,30,83
2064130293-1620904031733,99,14,86
2064131233-1621514656361,51,8,72
2064131233-1624281574942,37,4,21
2064131734-1619437759410,56,19,104
2064132020-1623760974552,67,2,10
2064132190-1617451431374,9,0,18
2064132537-1606623384097,20,14,20
2064132684-1615684213,76,31,46
2064132684-1620178286,119,38,76
2064132718-1618659341714,61,1,14
2064133787-1599483326876,25,1,9
2064133894-1607603237195,35,6,10
2064134100-1619438062,43,7,27
2064134385-1617280017144,25,8,33
2064134609-1617428087037,63,10,41
2064134613-1616501787440,18,3,20
2064134613-1622549981220,47,23,37
2064134831-1599899938433,81,88,86
2064134950-1619008386,24,15,42
2064134983-1598960269293,84,6,47
2064135224-1603458463844,75,2,24
2064135786-1619531869,3,3,0
2064135786-1620652028,29,25,31
2064135804-1615631318951,195,11,23
2064135804-1617445845353,162,3,23
2064135804-1618051608935,137,2,10
2064135804-1619260199903,185,3,16
2064136436-1623064775393,40,64,98
2064136708-1606905680674,70,82,47
2064136972-1617100288008,64,42,93
2064137042-1617881210760,21,20,16
2064137517-1616493780943,40,9,24
2064137517-1616586400250,50,2,15
2064137750-1619914590600,96,96,107
2064137750-1620088244299,75,101,104
2064137750-1621126840253,119,70,81
2064138019-1616501277,56,19,70
2064138019-1617018446,54,4,54
2064138181-1623064788395,31,8,51
2064139175-1591013059839,52,9,60
2064139175-1591271406838,98,19,70
2064139559-1619258078,315,36,146
2064139585-1618129004987,10,1,16
2064139738-1616587116304,68,2,20
2064139880-1617434155,75,11,32
2064139880-1618124259,163,19,122
2064139880-1618835377,130,16,47
2064140552-1620209036961,74,6,29
2064140729-1605878148104,44,18,23
2064141114-1618059840279,73,4,46
2064141722-1607166761991,132,8,21
2064141830-1616753090,14,12,15
2064141998-1591013363080,41,11,21
2064142076-1622638275312,24,46,146
2064142076-1624787034665,25,49,163
2064142261-1621431181360,28,1,7
2064142395-1620823657742,37,1,16
2064142589-1615901913380,16,3,16
2064142589-1616669238138,16,8,18
2064142589-1617712089455,62,10,54
2064142619-1620103355100,145,21,16
2064142619-1621042378739,39,6,0
2064142619-1621063823774,163,23,33
2064142619-1621427750467,58,6,8
2064143854-1620046202827,54,16,53
2064144550-1615899625576,66,9,43
2064144748-1599398363364,8,4,20
2064145217-1617451786118,36,7,63
2064145951-1620565831,64,21,42
2064146337-1591007995644,70,136,129
2064146337-1604709336222,149,67,89
2064146337-1604714477621,142,76,84
2064146337-1604734718209,195,22,48
2064146337-1606299777145,277,43,58
2064146337-1616839139352,91,61,70
2064146975-1617105229068,62,48,173
2064148102-1615980858612,38,1,16
2064148102-1616672657243,44,6,29
2064151024-1617111074344,18,31,33
2064151151-1607600074612,72,29,147
2064151634-1615376849,69,25,71
2064152114-1615375585163,52,25,27
2064153339-1617277274809,25,5,46
2064153339-1618401608314,46,1,13
2064153937-1619932523,95,5,41
2064155613-1617610609,52,33,16
2064155878-1616916576814,27,16,21
2064156772-1617449506921,37,36,64
2064156975-1615897014860,76,19,35
2064157069-1605013219395,31,8,4
2064159209-1616323100052,43,3,26
2064159784-1602151821660,56,7,19
2064159784-1620106952520,72,9,37
2064160508-1607763381354,25,2,12
2064160717-1616158325758,25,3,8
2064162546-1615635791926,74,9,63
2064162546-1615807992943,54,22,54
2064162546-1617105454085,70,8,23
2064162855-1617277761,146,0,3
2064162864-1598954653665,30,5,16
2064162864-1598956175061,11,7,16
2064162864-1598957068743,23,0,1
2064162864-1598958178336,109,5,15
2064162864-1599048386337,115,11,32
2064162864-1599384250424,109,15,16
2064162864-1599567457751,19,3,0
2064162864-1599568568245,123,36,37
2064162864-1599650305257,44,11,28
2064162864-1599653389370,32,11,32
2064162864-1599895970366,96,12,14
2064162864-1599899841215,99,4,16
2064162864-1600080401386,112,7,23
