image_name,AudioTime,TeacherTime ,StudentTime ,StudentRate,STSilent,TeacherMean,StudentMean,TeacherQuarter,TeacherMedian,TeacherThreeQuarters,TeacherStd,StudentQuarter,StudentMedian,StudentThreeQuarters,StudentStd,Interaction,value
2081010836-1618746499017,844,275,170,0.382022472,99,2.722772277,1.91011236,1,2,2,3.470212708,1,2,2,1.114373544,26,2
2081011010-1601125161304,2865,927,652,0.412919569,479,2.140877598,1.806094183,1,1,2,2.230058994,1,1,1,2.670011752,126,2
2081013643-1617277484,1830,685,237,0.257049892,382,1.897506925,1.410714286,1,1,2,1.357292808,1,1,1,0.956104604,64,2
2081016268-1615892296626,3872,1795,738,0.291354126,636,3.116319444,1.902061856,1,2,4,2.574526245,1,1,2,1.319970196,165,2
2081017511-1617194397178,2297,1071,409,0.276351351,332,3.432692308,8.18,1,2,4,3.574915527,1,2,6.75,13.93525847,15,2
2081018077-1621430674422,1117,330,172,0.342629482,149,2.244897959,1.387096774,1,2,3,1.935932173,1,1,2,0.762000762,32,2
2081020424-1617106666,5433,2503,631,0.20134014,1195,2.155900086,1.802857143,1,2,3,1.681230585,1,1,2,1.828927961,186,2
2081020424-1617283615,2039,979,262,0.211120064,388,2.478481013,2.568627451,1,2,3,1.985075718,1,1,2,3.31963795,35,2
2081022470-1618836583403,1842,394,554,0.584388186,197,6.15625,3.094972067,2,3.5,8,7.466791559,1,2,4,3.040351727,3,0
2081024542-1621125408,3924,1404,448,0.241900648,546,2.429065744,1.709923664,1,2,3,2.255588744,1,1,2,1.174365727,65,2
2081030971-1605177826,5169,2156,570,0.209097579,907,2.41163311,1.637931034,1,2,3,2.014649321,1,1,2,1.426770916,115,2
2081032644-1621344932,473,190,65,0.254901961,91,2.134831461,1.805555556,1,1,2,1.865908329,1,1,2,1.769898212,17,2
2081032898-1621734236436,1273,559,121,0.177941176,202,3.140449438,2.37254902,1,2,4,2.78564598,1,1,3,2.208717133,11,2
2081032955-1601121715413,2941,1186,495,0.294467579,486,2.496842105,2.911764706,1,1,3,2.457548976,1,1,2,4.731661248,55,2
2081033622-1616294399591,586,172,81,0.320158103,93,2.263157895,1.928571429,1,2,3,1.913937798,1,1,2,2.351884114,10,0
2081033841-1617714207047,2153,619,790,0.560681334,301,3.095,4.22459893,1,2,5,2.231788385,1,2,4,6.215038493,55,2
2081036554-1617426940,3637,1266,480,0.274914089,600,2.167808219,1.714285714,1,2,3,1.94414051,1,1,2,1.903724756,83,2
2081036943-1617444416635,6730,657,607,0.480221519,452,2.265517241,1.896875,1,2,3,1.813592634,1,1,2,1.701554586,46,0
2081037666-1617106833,4754,1642,1585,0.491168268,614,3.577342048,5.914179104,1,2,4.5,3.408826316,2,4,7.25,6.291015566,51,0
2081037755-1617194205007,3998,1585,464,0.226451928,685,2.515873016,1.909465021,1,2,3,1.996555567,1,1,2,1.307967053,61,2
2081037755-1623323383239,5423,811,341,0.296006944,395,2.350724638,2.118012422,1,2,3,2.173146309,1,2,3,1.433435044,39,0
2081037755-1624795297072,2769,314,126,0.286363636,160,2.396946565,1.657894737,1,1,2,2.507463902,1,1,2,0.945905303,19,0
2081040479-1615463613009,3399,280,468,0.625668449,291,2.916666667,2,1,2,4,2.658320272,1,1,2,1.644342623,17,0
2081040479-1616152447034,1900,246,225,0.477707006,176,2.46,2.25,1,1,2,2.844168232,1,2,3,1.940399834,6,0
2081040479-1616154529768,1869,227,233,0.506521739,193,2.948051948,1.688405797,1,2,4,2.665057044,1,1,2,1.051941026,9,0
2081041488-1606997445,3349,452,664,0.594982079,444,1.399380805,1.715762274,1,1,1,1.18148222,1,1,2,1.951971137,80,0
2081043636-1617195667038,1965,738,259,0.259779338,307,2.451827243,2.232758621,1,2,3,2.344178246,1,1,3,2.078284236,24,2
2081043685-1619848802012,2619,843,212,0.200947867,248,4.279187817,1.709677419,1,2,6,4.761476292,1,1,2,1.5289839,20,2
2081046756-1616331299165,3106,873,410,0.319563523,449,2.113801453,1.553030303,1,2,2,1.795119686,1,1,2,1.094850678,86,2
2081048508-1617105731479,2330,1140,154,0.119010819,487,2.47826087,1.87804878,1,2,3,2.680837596,1,1,2,1.299479895,39,2
2081049815-1617432515593,2661,1027,241,0.190063091,418,2.52955665,1.50625,1,2,3,2.08293793,1,1,2,0.8087328,51,2
2081050697-1617277943141,2702,1016,235,0.18784972,457,2.242825607,1.740740741,1,2,3,1.70844414,1,1,2,1.309910348,40,2
2081050853-1616757848,4213,1516,383,0.201685097,611,2.60929432,1.773148148,1,2,3,2.520368682,1,1,2,1.566931914,56,2
2081054199-1617455901,2521,1090,495,0.312302839,392,3.044692737,2.877906977,1,2,4,2.934048606,1,2,3,3.305529699,56,2
2081058018-1605617985,860,341,270,0.441898527,120,3.41,3.333333333,1,2,4,3.69300458,1,3,4,2.678619047,27,0
2081058018-1605702705,244,54,88,0.61971831,36,2.25,2.666666667,1,2,2,1.621861518,2,2,3,1.670828138,14,0
2081058018-1605791912,1928,547,488,0.471497585,301,2.790816327,2.323809524,1,2,3,3.92521335,1,2,3,2.628497626,46,0
2081058018-1606049640,290,82,79,0.49068323,56,2.411764706,1.926829268,1,2,3,1.616536647,1,2,2,1.034172227,15,0
2081058018-1606049976,1668,441,474,0.518032787,241,2.505681818,2.890243902,1,2,3,2.810179779,1,2,4,2.136484685,46,0
2081058018-1606130867,3433,744,1092,0.594771242,570,2.113636364,2.545454545,1,1,2,2.043302272,1,2,3,2.178035875,80,0
2081058018-1606303863,385,97,134,0.58008658,67,2.108695652,2.85106383,1,2,2.75,1.728560877,1,3,4,1.781288291,15,0
2081058018-1606308930,1652,298,602,0.668888889,308,2.191176471,2.360784314,1,1,2,2.252618907,1,2,3,1.730695372,33,0
2081058018-1606310630,958,266,372,0.5830721,164,2.254237288,2.735294118,1,1,3,1.715621742,1,2,4,1.793962278,48,0
2081058018-1606387422453,419,130,155,0.543859649,66,2.549019608,2.980769231,1,2,3.5,1.931980595,2,2.5,3.25,2.033931618,19,0
2081058018-1606558069,10912,433,1862,0.811328976,901,1.609665428,2.106334842,1,1,2,1.335528949,1,1,3,1.737601126,62,0
2081058018-1606736251,763,96,217,0.693290735,84,1.92,2.552941176,1,1,2,2.088256767,1,2,3,1.822517113,19,0
2081058018-1606742548,622,198,200,0.502512563,106,2.675675676,2.777777778,1,2,3,3.260843273,1,2,4,2.208958854,23,0
2081058018-1606910982341,786,95,149,0.610655738,81,2.375,1.886075949,1,2,3,2.180184655,1,1,2,1.544114897,6,0
2081058018-1607337269,1080,191,177,0.480978261,123,2.808823529,2.298701299,1,2,3,4.7229429,1,2,3,1.451541241,11,0
2081058018-1607606960825,468,76,65,0.460992908,78,1.652173913,1.274509804,1,1,2,1.079452357,1,1,1,0.602608708,1,0
2081058018-1607693919234,1703,304,608,0.666666667,269,2.082191781,2.702222222,1,1,2,1.821355499,1,2,4,2.344302448,38,0
2081058018-1607951464590,997,147,70,0.322580645,63,2.773584906,1.489361702,1,2,3,2.825988659,1,1,2,0.830723635,6,0
2081058018-1608115110430,623,89,127,0.587962963,89,1.893617021,1.814285714,1,2,2,1.237705496,1,1,2,1.386193382,8,0
2081061929-1615373191123,2030,113,247,0.686111111,264,1.056074766,1.306878307,1,1,1,0.301936383,1,1,1,0.677138292,15,0
2081061929-1615375246760,2866,547,455,0.454091816,414,1.576368876,1.453674121,1,1,2,0.9103233,1,1,2,0.634424519,98,0
2081061929-1615458137996,1120,97,130,0.572687225,187,1.347222222,1.3,1,1,1,0.715221274,1,1,1,0.689019212,8,0
2081061929-1615623800856,2254,899,605,0.402260638,295,3.977876106,3.086734694,1,2,5,4.440665306,1,2,4,3.153773084,58,0
2081061929-1615636847862,493,85,211,0.712837838,76,1.847826087,3.014285714,1,1,2,1.563008371,1,2,4,2.662094942,22,0
2081061929-1615688492714,3064,336,300,0.471698113,421,1.4,1.293103448,1,1,2,0.619082869,1,1,2,0.51835974,53,0
2081061929-1615691943006,1831,490,290,0.371794872,281,2.130434783,1.542553191,1,2,2,1.92669928,1,1,2,0.664853224,56,0
2081061929-1615701710995,2220,528,804,0.603603604,313,3.384615385,3.033962264,1,2,3,5.271299697,1,2,4,2.867460034,28,0
2081061929-1616208506778,4477,762,729,0.488933602,509,1.365591398,1.388571429,1,1,2,0.52482254,1,1,2,0.507071047,201,0
2081061929-1616235773510,2465,375,929,0.712423313,364,1.712328767,2.977564103,1,1,2,1.31134204,1,2,4,2.143443565,70,0
2081061929-1617189335699,2624,968,271,0.218724778,448,2.086206897,1.375634518,1,2,3,1.494808673,1,1,2,0.647613538,70,2
2081061929-1617276119802,7264,1302,2354,0.643873085,979,2.568047337,2.740395809,1,2,3,2.89554734,1,2,3,2.904683997,103,0
2081061929-1617369158459,2868,657,909,0.58045977,355,3.352040816,3.293478261,1,2,3,4.121680752,1,2,4,3.115491066,57,0
2081061929-1617516126505,2087,338,590,0.635775862,348,1.836956522,2.107142857,1,1,2,1.221637116,1,2,3,1.616210128,47,0
2081061929-1617523448031,3063,403,1089,0.729892761,449,2.264044944,2.599045346,1,1,2,3.224719046,1,2,3,2.407444404,37,0
2081061929-1617536792113,2680,345,1048,0.752333094,412,2.24025974,2.840108401,1,2,2,2.444294931,1,2,3,2.380609163,36,0
2081061929-1618031255068,167,48,19,0.28358209,27,2.666666667,1.461538462,1,2,2,3.16227766,1,1,2,0.660225292,1,0
2081061929-1618034012216,629,190,34,0.151785714,73,2.835820896,2,1,2,3,3.236145364,1,1,3,1.224744871,6,0
2081061929-1618139651934,506,49,174,0.780269058,83,1.884615385,2.25974026,1,1,3,1.107318313,1,2,3,1.845354034,8,0
2081061929-1618623214842,3196,542,1275,0.701706109,526,2.53271028,2.678571429,1,2,3,2.484950976,1,2,3,2.300490304,79,0
2081061929-1618655606763,5169,1244,1792,0.590250329,769,2.559670782,2.835443038,1,2,3,2.631987821,1,2,4,2.352085791,185,0
2081063758-1602502684,1568,567,227,0.285894207,264,2.475982533,2.141509434,1,2,3,2.243037868,1,2,2,1.726205192,18,2
2081064248-1602241843,1375,599,102,0.145506419,256,2.386454183,1.854545455,1,2,3,1.894744251,1,1,2,1.282621474,21,2
2081071600-1617275623,2785,981,375,0.276548673,527,2.026859504,1.704545455,1,1.5,2,1.52864358,1,1,2,1.445818178,77,2
2081076255-1606902181482,4233,1539,854,0.356874216,628,2.823853211,2.875420875,1,2,4,2.792153498,1,2,3,3.375383148,74,2
2081092312-1616501418103,656,235,63,0.211409396,136,2.008547009,1.5,1,1,3,1.342255735,1,1,1,1.109823102,11,2
2082355640-1617539454176,5373,2083,412,0.165130261,914,2.286498353,1.543071161,1,2,3,1.923316712,1,1,2,1.440883555,92,2
2082447627-1622545679457,3381,1376,218,0.136762861,557,2.661508704,1.379746835,1,2,3,2.323524798,1,1,2,0.810815387,35,2
